campaign_channel_id,category,type,budget,spend,campaign_id
10060AD2GEZMQ,Advertising,In-game,140.00,109.20,10060
10066AD5UOFIX,Advertising,Insert,440.00,497.20,10066
10028AD2QYOIU,Advertising,"LinkedIn Ad",100.00,90.00,10028
10004AD8XWMMV,Advertising,"Product Packaging",440.00,462.00,10014
10004AD9FQMQH,Advertising,"Product Packaging",440.00,365.20,10004
10012AD1BSHRD,Advertising,"Product Packaging",440.00,479.60,10012
10025AD3TEWVS,Advertising,"Sports Sponsorship",5470.00,7931.50,10033
10048AD7VFTPF,Advertising,"YouTube Pre-roll",190.00,245.10,10048
10056CO7ODDFP,Content,"Content marketing",280.00,156.80,10056
10019CO8TQRRL,Content,Infographics,290.00,261.00,10019
10039CO7QOFAB,Content,Infographics,290.00,232.00,10039
10026CO2UNGNT,Content,"Research Paper",590.00,383.50,10026
10027DI8OJZNK,Direct,"Alliance Marketing",950.00,883.50,10027
10003DI9JUSKL,Direct,"Postal Mail",480.00,489.60,10003
10053DI0ZVFWG,Direct,"Postal Mail",480.00,302.40,10053
10072EM4NCLZD,Email,"Email Blast",280.00,327.60,10072
10005EM0URYIN,Email,"Email Signature",190.00,224.20,10005
10014EM8DPSEA,Email,"Email Signature",190.00,233.70,10014
10025EV5UFAEA,Event,"Brand Hijack",2890.00,2283.10,10025
10077EV7LNVCN,Event,"Brand Hijack",2890.00,3554.70,10077
10027EV3HAOOW,Event,Events,6400.00,4160.00,10027
10008IN7UICSC,In-Store,"POS displays",520.00,317.20,10008
10031IN4LZPMG,In-Store,"POS displays",520.00,618.80,10031
10052IN9AHVHV,In-Store,Signage,320.00,339.20,10052
10035MO4LFSGB,Mobile,SMS,390.00,405.60,10035
10038MO0OIERX,Mobile,SMS,390.00,382.20,10038
10066MO9QFTNO,Mobile,SMS,390.00,401.70,10066
10028PR5QOKVU,PR,"Press Release",470.00,587.50,10028
10006SE6IPHAL,Search,PPC,690.00,696.90,10006
10047SO6NDNQD,Social,Blog,70.00,73.50,10047
10045SO7WCTTF,Social,"Facebook Page",230.00,177.10,10045
10004SO7XSXHQ,Social,"Facebook Post",70.00,45.50,10004
10038SO1BHGEQ,Social,"Facebook Post",70.00,74.90,10038
10001SO6FWEOU,Social,Forum,390.00,358.80,10001
10009SO5FPLKZ,Social,Forum,390.00,347.10,10009
10013SO4YORKP,Social,Forum,390.00,417.30,10013
10022SO0TRTVG,Social,Forum,390.00,343.20,10022
10065SO2PRYEL,Social,Forum,390.00,354.90,10065
10004SO0BVINK,Social,"LinkedIn Group",140.00,128.80,10004
10029SO6LMVPQ,Social,"LinkedIn Group",140.00,127.40,10029
10040SO6DWUIH,Social,"LinkedIn Group",140.00,137.20,10040
10045SO4ZBUKW,Social,Twitter,80.00,104.00,10045
10020SO4DSMGB,Social,"Twitter account",180.00,185.40,10020
10042SO7NDKQS,Social,"Twitter account",180.00,140.40,10042
10069TE4ZLGIU,Telephone,"Hold Message",240.00,240.00,10069
10009TE1JQUIS,Telephone,Telesales,3220.00,2321.00,10009
10025TE7ZGAZO,Telephone,Telesales,4220.00,2067.80,10025
10076TE8UEIMF,Telephone,Telesales,4220.00,3629.20,10076
10039WE5SDTMJ,Web,"Ebay Store",950.00,798.00,10039
10002WE7WHGTM,Web,Microsites,200.00,240.00,10002
10040WE8HNQSO,Web,Microsites,200.00,152.00,10040
10062AD8JZLMY,Advertising,"LinkedIn Ad",100.00,108.00,10062
10064AD6CDQVI,Advertising,"Magazine Ad",430.00,374.10,10064
10009AD4FFVET,Advertising,"Paid Review",120.00,86.40,10009
10049AD5CRSSZ,Advertising,"Paid Review",120.00,118.80,10049
10020AD9VUPVZ,Advertising,"Receipt Code",240.00,254.40,10020
10045CO1EVRSS,Content,"Content marketing",280.00,285.60,10045
10047CO5OGQXY,Content,Infographics,290.00,208.80,10047
10058CO2IULJH,Content,Infographics,290.00,258.10,10058
10030CO0NFNME,Content,Presentation,400.00,460.00,10030
10018CO5MJMSX,Content,"Research Paper",590.00,595.90,10018
10054CO7KGZHZ,Content,"Research Paper",590.00,566.40,10054
10072CO9INICX,Content,"Research Paper",590.00,566.40,10072
10030CO7STEHG,Content,Video,1170.00,1240.20,10030
10014EM4PUXFF,Email,"Email Blast",280.00,243.60,10014
10039EM8TWMZM,Email,"Email Blast",280.00,358.40,10039
10049EM5HYJUG,Email,"Email Blast",280.00,201.60,10049
10042EM9UOYEQ,Email,"Email Signature",190.00,96.90,10042
10061EV3YLXWB,Event,Prizes/Exhibitions,760.00,592.80,10061
10070IN2RZMWB,In-Store,Display,1400.00,1190.00,10070
10063IN1YVMIY,In-Store,"Loyalty card",270.00,240.30,10063
10064IN1PSVTF,In-Store,"POS displays",520.00,561.60,10064
10070IN6XOQMY,In-Store,"POS displays",520.00,525.20,10070
10055PR3YIUHU,PR,"Press Release",470.00,441.80,10055
10005PR7MBLMQ,PR,"Public Relations",630.00,611.10,10015
10029PR0UECJQ,PR,"Public Relations",630.00,478.80,10029
10044PR3UFOMM,PR,"Public Relations",630.00,415.80,10044
10063PR1FLMRW,PR,"Public Relations",630.00,699.30,10063
10025SE9QWXFM,Search,SEO,230.00,186.30,10025
10051SO5SUALO,Social,"Facebook Page",230.00,227.70,10051
10043SO0IHZJM,Social,"Facebook Post",70.00,53.90,10043
10008SO1OYZUK,Social,"Influencer outreach",210.00,195.30,10008
10065SO2PSLAU,Social,"Influencer outreach",210.00,222.60,10065
10047SO2MKOCH,Social,"LinkedIn Group",140.00,140.00,10047
10019SO6HANKI,Social,"Twitter account",180.00,176.40,10019
10071SO2YSTRU,Social,"Youtube channel",80.00,68.00,10071
10049TE5YZOFG,Telephone,"Hold Message",240.00,206.40,10049
10023WE7JNVJM,Web,"Amazon Store",210.00,165.90,10023
10033WE6EVIFW,Web,"Amazon Store",210.00,262.50,10033
10068WE8MKMRN,Web,"Amazon Store",210.00,216.30,10068
10041WE1MTYYN,Web,Microsites,200.00,188.00,10041
10042WE6OJJMD,Web,Microsites,200.00,252.00,10042
10071WE1DVWRX,Web,Microsites,200.00,232.00,10071
10007AD3ILEYQ,Advertising,In-game,140.00,92.40,10007
10023AD7JGVJD,Advertising,"LinkedIn Ad",100.00,87.00,10023
10065AD4SZTTD,Advertising,"Paid Review",120.00,106.80,10065
10059AD1CATLA,Advertising,"YouTube Pre-roll",190.00,220.40,10059
10042CO3GSSJO,Content,Infographics,290.00,301.60,10042
10025CO3KFNLO,Content,Presentation,400.00,432.00,10025
10034CO0GUDCH,Content,Presentation,400.00,476.00,10034
10067CO7OEEWY,Content,"Report Sponsorship",360.00,223.20,10067
10075CO5KXQMG,Content,"Research Paper",590.00,607.70,10075
10056CO2JXRWV,Content,Video,1170.00,982.80,10056
10061CO4NNELH,Content,Video,1170.00,1567.80,10061
10073EM6ZCZFJ,Email,"Email Signature",190.00,228.00,10073
10064IN6MRKGD,In-Store,Kiosk,400.00,376.00,10064
10001IN4NQSPX,In-Store,Signage,320.00,400.00,10001
10042PR5FYEPO,PR,"Press Release",470.00,437.10,10042
10071PR6TLFJL,PR,"Public Relations",630.00,863.10,10071
10006SE3PTPUV,Search,PPC,690.00,496.80,10006
10042SE4WFONI,Search,PPC,690.00,655.50,10042
10011SE4QSXQZ,Search,SEO,230.00,223.10,10011
10011SE6VRXUF,Search,SEO,230.00,241.50,10011
10015SE3NNNTK,Search,SEO,230.00,174.80,10015
10071SE5CJATT,Search,SEO,230.00,230.00,10071
10049SO3UNSTI,Social,Blog,70.00,50.40,10049
10071SO5QSNVJ,Social,"Facebook Page",230.00,257.60,10071
10072SO7XCJAA,Social,"Facebook Page",230.00,273.70,10072
10074SO3QCYDA,Social,Forum,390.00,409.50,10074
10003SO3XNYND,Social,"Influencer outreach",210.00,199.50,10003
10050SO3KHFWC,Social,"LinkedIn Post",140.00,159.60,10050
10065SO8UBQBX,Social,"LinkedIn Post",140.00,106.40,10065
10036SO4YAPTO,Social,Twitter,80.00,74.40,10036
10046SO9ZVRGE,Social,Twitter,80.00,80.00,10046
10016SO5LOWZD,Social,"Twitter account",180.00,241.20,10016
10024SO9UXFRH,Social,"Twitter account",180.00,237.60,10024
10030SO8EMVOY,Social,"Twitter account",180.00,201.60,10030
10045SO9KKNAM,Social,"Youtube channel",80.00,74.40,10045
10041WE1YMWLG,Web,"Ebay Store",950.00,836.00,10041
10068WE2JGVUL,Web,"Ebay Store",950.00,1045.00,10068
10071WE9LMYXH,Web,Microsites,200.00,230.00,10071
10010AD0BNBFV,Advertising,Aggregator,70.00,60.20,10010
10019AD6OSFIN,Advertising,"Magazine Ad",430.00,408.50,10019
10057AD0RUAWX,Advertising,"Mobile Ad",80.00,82.40,10057
10003AD2KPVTQ,Advertising,"Receipt Code",240.00,196.80,10003
10006AD4OPLZH,Advertising,"YouTube Pre-roll",190.00,134.90,10006
10076CO0LZXQM,Content,"Content marketing",280.00,156.80,10076
10017CO2UUYJB,Content,"Report Sponsorship",360.00,388.80,10017
10049CO5VPWSC,Content,"Research Paper",590.00,631.30,10049
10050CO3GNMXW,Content,"Research Paper",590.00,578.20,10050
10030DI3QYRMW,Direct,"Alliance Marketing",950.00,988.00,10030
10065DI6ABSRW,Direct,Catalogue,2470.00,2618.20,10065
10005DI7MWSCD,Direct,"Postal Mail",480.00,427.20,10014
10017DI3MHKXX,Direct,"Postal Mail",480.00,379.20,10017
10023DI7RQAEW,Direct,"Postal Mail",480.00,393.60,10023
10061DI3BLENE,Direct,"Postal Mail",480.00,388.80,10061
10071EM7YQLYT,Email,"Email Blast",280.00,179.20,10071
10071IN6FWHDZ,In-Store,"POS displays",520.00,566.80,10071
10071IN0TFHJO,In-Store,Signage,320.00,387.20,10071
10073IN7HXYYX,In-Store,Signage,320.00,208.00,10073
10071MO5ZFZNJ,Mobile,SMS,390.00,347.10,10071
10016PR2VTXWV,PR,"Press Release",470.00,413.60,10016
10032SE0TNUMT,Search,SEO,230.00,181.70,10032
10045SE1JPRCN,Search,SEO,230.00,204.70,10045
10015SO5MLNXI,Social,Blog,70.00,58.10,10015
10071SO5SJFGK,Social,Blog,70.00,76.30,10071
10021SO3ZZQOU,Social,"Facebook Page",230.00,227.70,10021
10006SO2JINWT,Social,"Facebook Post",70.00,74.20,10006
10016SO3XYLBF,Social,"Influencer outreach",210.00,180.60,10016
10052SO3LOBMG,Social,"Influencer outreach",210.00,207.90,10052
10025SO1BTEFX,Social,"LinkedIn Group",140.00,116.20,10025
10049SO3NHSNI,Social,"LinkedIn Post",140.00,162.40,10049
10037SO7IUDVU,Social,Twitter,80.00,104.00,10037
10071SO5BEOFI,Social,Twitter,80.00,86.40,10071
10077SO7DEHXQ,Social,"Twitter account",180.00,160.20,10077
