date,status,gas_in_storage_twh,filled_gas,injection_gwh,withdrawal_gwh
2023-03-14,C,25.3073,0.5777,6.91,119.8
2023-03-13,C,25.4208,0.5803,18.07,73.1
2023-03-12,C,25.4593,0.5811,21.75,117.8
2023-03-11,C,25.556,0.5833,8.28,129.8
2023-03-10,C,25.6792,0.5861,2.17,119
2023-03-09,C,25.7957,0.5888,12.04,210
2023-03-08,C,25.9942,0.5933,0.61,277.7
2023-03-07,C,26.2725,0.5997,0.11,263.7
2023-03-06,C,26.5372,0.6057,0.11,202.3
2023-03-05,C,26.7403,0.6104,13,158.4
2023-03-04,C,26.8877,0.6137,13,173.6
2023-03-03,C,27.0269,0.6169,0.22,206.6
2023-03-02,C,27.2115,0.6211,0.22,230.2
2023-03-01,C,27.4193,0.6259,0.22,221.2
2023-02-28,C,27.6402,0.6309,0.25,322.7
2023-02-27,C,27.9409,0.6378,0.26,271.8
2023-02-26,C,28.195,0.6436,0.61,211.7
2023-02-25,C,28.4059,0.6484,1.51,177.2
2023-02-24,C,28.5815,0.6524,9.39,141
2023-02-23,C,28.7111,0.6554,13.86,159.3
2023-02-22,C,28.8573,0.6587,5.67,142.1
2023-02-21,C,28.9955,0.6618,3.72,134.8
2023-02-20,C,29.1283,0.6649,7.48,85.4
2023-02-19,C,29.2057,0.6666,27.83,72.5
2023-02-18,C,29.2502,0.6677,56.27,62.3
2023-02-17,C,29.2579,0.6678,35.3,88.3
2023-02-16,C,29.3131,0.6691,18.43,151.2
2023-02-15,C,29.4465,0.6721,3.94,195.7
2023-02-14,C,29.6381,0.6765,2.27,217.4
2023-02-13,C,29.8492,0.6813,2.83,219.3
2023-02-12,C,30.0609,0.6862,9.53,239.3
2023-02-11,C,30.2906,0.6914,8.95,239.9
2023-02-10,C,30.5249,0.6968,2.33,326.7
2023-02-09,C,30.85,0.7042,5.18,416.9
2023-02-08,C,31.263,0.7136,2.48,430.3
2023-02-07,C,31.6928,0.7234,2.48,422.4
2023-02-06,C,32.1138,0.733,2.59,272.9
2023-02-05,C,32.3847,0.7392,0.48,195.9
2023-02-04,C,32.5801,0.7437,0.43,144.7
2023-02-03,C,32.724,0.747,2.6,175.3
2023-02-02,C,32.8934,0.7508,1.99,155
2023-02-01,C,33.0465,0.7543,0.38,174.4
2023-01-31,C,33.221,0.7583,0.7,266
2023-01-30,C,33.4866,0.7644,10.95,301.1
2023-01-29,C,33.7775,0.771,7.95,293.6
2023-01-28,C,34.0636,0.7775,8.95,280.3
2023-01-27,C,34.3356,0.7837,9.84,293.4
2023-01-26,C,34.6184,0.7902,7.9,335.3
2023-01-25,C,34.9466,0.7977,9.95,314.7
2023-01-24,C,35.2523,0.8047,7.91,347.8
2023-01-23,C,35.5895,0.8124,8.06,406.7
2023-01-22,C,35.9858,0.8214,33.69,373.1
2023-01-21,C,36.3256,0.8292,33.69,309.2
2023-01-20,C,36.6018,0.8355,33.74,332.6
2023-01-19,C,36.9012,0.8423,26.54,309.8
2023-01-18,C,37.185,0.8488,26.68,213
2023-01-17,C,37.3713,0.853,29.59,228.4
2023-01-16,C,37.5696,0.8576,10.97,205.1
2023-01-15,C,37.7645,0.862,26.65,95.6
2023-01-14,C,37.833,0.8636,29.33,86.1
2023-01-13,C,37.8865,0.8648,35.25,86.2
2023-01-12,C,37.9361,0.8659,39.59,90.9
2023-01-11,C,37.9872,0.8671,11.62,79.9
2023-01-10,C,38.0555,0.8686,19.5,99.6
2023-01-09,C,38.1352,0.8705,37.77,71.5
2023-01-08,C,38.1687,0.8712,58.61,24.6
2023-01-07,C,38.1345,0.8705,68.1,18.4
2023-01-06,C,38.0847,0.8693,42.3,30
2023-01-05,C,38.0734,0.8691,75.85,41.1
2023-01-04,C,38.0393,0.8685,52.31,43.9
2023-01-03,C,38.0334,0.8683,98.82,38.8
2023-01-02,C,37.974,0.867,123.8,22
2023-01-01,E,37.8332,0.8638,100.35,9.3
2022-12-31,C,37.7422,0.8617,157.42,10.8
2022-12-30,C,37.5067,0.8563,143.3,18
2022-12-29,C,37.3815,0.8535,132.17,23
2022-12-28,C,37.2664,0.8508,88.13,21.2
2022-12-27,C,37.1979,0.8493,130.34,13.4
2022-12-26,C,37.0817,0.8466,147.98,7.4
2022-12-25,C,36.9394,0.8434,142.36,10.2
2022-12-24,C,36.8059,0.8403,139.49,8.1
2022-12-23,C,36.6755,0.8373,80.11,44.3
2022-12-22,C,36.6394,0.8365,66.27,61
2022-12-21,C,36.636,0.8364,44.03,69.2
2022-12-20,C,36.6644,0.8371,23.49,139.4
2022-12-19,C,36.782,0.8398,40.18,200.6
2022-12-18,C,36.9412,0.8434,1.44,309.9
2022-12-17,C,37.249,0.8504,0.45,304.7
2022-12-16,C,37.5535,0.8574,0.45,301